药材ID,药材名称,拼音注音,别名,图片本地路径,图片原始URL,来源页面URL,来源数量,来源列表,采集时间
kutanye,苦檀叶,Kǔ Tán Yè,,,,https://www.zysj.com.cn/zhongyaocai/kutanye/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 23:59:52
kuxuanshen,苦玄参,,蛇总管[广西]、鱼胆草、落地小金钱、四环素草,,,https://www.zysj.com.cn/zhongyaocai/kuxuanshen/index.html,1,《全国中草药汇编》,2025-12-21 23:59:53
kulianjun,苦楝菌,Kǔ Liàn Jūn,,,,https://www.zysj.com.cn/zhongyaocai/kulianjun/index.html,1,《中华本草》,2025-12-21 23:59:53
kulianhua,苦楝花,Kǔ Liàn Huā,,,,https://www.zysj.com.cn/zhongyaocai/kulianhua/index.html,1,《中华本草》,2025-12-21 23:59:54
kulianjisheng,苦楝寄生,Kǔ Liàn Jì Shēnɡ,相思树寄生、酸柚寄生、黄皮寄生、槐花寄生、枇杷寄生、桑寄生、梨寄生（《广西药植名录》），松树桑寄生（《海南植物志》）。,,,https://www.zysj.com.cn/zhongyaocai/kulianjisheng/index.html,1,《中药大辞典》,2025-12-21 23:59:55
kulianpi,苦楝皮,Kǔ Liàn Pí,苦楝、楝树果、楝枣子、苦楝树、森树、翠树、紫花树、川楝皮,,,https://www.zysj.com.cn/zhongyaocai/kulianpi/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 23:59:56
kushupi,苦树皮,Kǔ Shù Pí,苦通皮、马断肠、吊杆麻、菜虫药、老虎麻,,,https://www.zysj.com.cn/zhongyaocai/kushupi/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 23:59:57
kuguo,苦果,,洋苦果、吕宋豆、吕宋果,,,https://www.zysj.com.cn/zhongyaocai/kuguo/index.html,1,《全国中草药汇编》,2025-12-21 23:59:57
kulianzi,苦楝子,Kǔ Liàn Zǐ,土楝实、苦心子、楝枣子、楝果子、土楝子。,,,https://www.zysj.com.cn/zhongyaocai/kulianzi/index.html,1,《中华本草》,2025-12-21 23:59:57
kuxingren,苦杏仁,Kǔ Xìnɡ Rén,杏仁,,,https://www.zysj.com.cn/zhongyaocai/kuxingren/index.html,2,《中国药典》;《中药大辞典》,2025-12-21 23:59:58
kulianye,苦楝叶,Kǔ Liàn Yè,,,,https://www.zysj.com.cn/zhongyaocai/kulianye/index.html,1,《中华本草》,2025-12-21 23:59:58
kumuye,苦木叶,Kǔ Mù Yè,,,,https://www.zysj.com.cn/zhongyaocai/kumuye/index.html,1,《中华本草》,2025-12-21 23:59:59
kutianqieye,苦天茄叶,Kǔ Tiān Qié Yè,,,,https://www.zysj.com.cn/zhongyaocai/kutianqieye/index.html,1,《中华本草》,2025-12-22 00:00:00
kumugen,苦木根,Kǔ Mù Gēn,,,,https://www.zysj.com.cn/zhongyaocai/kumugen/index.html,1,《中华本草》,2025-12-22 00:00:01
kumu,苦木,Kǔ Mù,苦皮树、苦树皮、苦皮子、苦胆木、赶狗木、熊胆树、土樗子,,,https://www.zysj.com.cn/zhongyaocai/kumu/index.html,3,《中国药典》;《中药大辞典》;《中华本草》,2025-12-22 00:00:01
kuhuluman,苦壶卢蔓,Kǔ Hú Lú Màn,苦瓠藤,,,https://www.zysj.com.cn/zhongyaocai/kuhuluman/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:01
kuhuluhua,苦壶卢花,Kǔ Hú Lú Huā,,,,https://www.zysj.com.cn/zhongyaocai/kuhuluhua/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:01
kutianqie,苦天茄,Kǔ Tiān Qié,刺天茄、刺茄子、大苦葛、苦颠茄、金弹子、黄角刺、狗茄子、添钱果,,,https://www.zysj.com.cn/zhongyaocai/kutianqie/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:00:01
kudiding,苦地丁,Kǔ Dì Dīnɡ,地丁草、苦丁、小鸡菜,,,https://www.zysj.com.cn/zhongyaocai/kudiding/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:00:02
kudingcha,苦丁茶,Kǔ Dīnɡ Chá,毛叶黄牛木、黄浆果、土茶、茶盖、角刺茶。,,,https://www.zysj.com.cn/zhongyaocai/kudingcha/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:03
kudidan,苦地胆,Kǔ Dì Dǎn,天芥菜、鸡疴粘（《纲目》），土柴胡、马驾百兴（《生草药性备要》），草鞋底（《岭南采药录》），地胆头、磨地胆（《广州植物志》），牛插鼻、铁烛台、披地挂、地枇杷、牛托鼻（《福建民间草药》），土蒲公英、吹火根、毛兜细辛（《广西中兽医药植》），铺地娘（《南宁市药物志》），铁扫帚、铁答杯、铁丁镜、一刺针（《闽东本草》），铁灯柱、毛刷子（《江西民间草药验方》），地苦胆（广西《中草药新医疗法处方集》）。,,,https://www.zysj.com.cn/zhongyaocai/kudidan/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:04
kuhulu,苦壶卢,Kǔ Hú Lú,苦匏（《国语》），蒲卢（《礼记》），苦瓠（《本经》），约壶、约腹壶（《广志》），苦瓠娄（《唐本草》），亚腰壶卢（《简便单方》），长柄茶壶卢（《濒湖集简方》），药壶卢（《纲目》），细颈葫芦、长柄葫芦（《本经逢原》），金葫芦（《药材资料汇编》），京葫芦、小葫芦（《江苏植药志》）。,,,https://www.zysj.com.cn/zhongyaocai/kuhulu/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:04
kushen,苦参,Kǔ Shēn,野槐、好汉枝、苦骨、地骨、地槐、山槐子,,,https://www.zysj.com.cn/zhongyaocai/kushen/index.html,3,《中国药典》;《中药大辞典》;《中华本草》,2025-12-22 00:00:04
kongtongpao,空筒泡,,树莓、多腺悬钩子、雀不站、红毛巾、钻地风,,,https://www.zysj.com.cn/zhongyaocai/kongtongpao/index.html,1,《全国中草药汇编》,2025-12-22 00:00:05
kushenshi,苦参实,Kǔ Shēn Shí,苦参子（《纲目》），苦豆（内蒙古《中草药新医疗法资料选编》）。,,,https://www.zysj.com.cn/zhongyaocai/kushenshi/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:05
kanggulao,糠谷老,Kānɡ Gǔ Lǎo,糠古老、看谷老、老谷穗、枪谷老、老枪谷、枪谷,,,https://www.zysj.com.cn/zhongyaocai/kanggulao/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:00:06
kuicao,篑草,Kuì Cǎo,蒲草、咸水草、野席草、席草仔,,,https://www.zysj.com.cn/zhongyaocai/kuicao/index.html,1,《中华本草》,2025-12-22 00:00:07
kongtongcan,空桶参,Kōnɡ Tǒnɡ Shēn,空洞参、空空参、啦吧花,,,https://www.zysj.com.cn/zhongyaocai/kongtongcan/index.html,2,《全国中草药汇编》;《中药大辞典》,2025-12-22 00:00:07
kongbingjianiugan,空柄假牛肝,,杂蘑,,,https://www.zysj.com.cn/zhongyaocai/kongbingjianiugan/index.html,1,《全国中草药汇编》,2025-12-22 00:00:07
kongxinxian,空心苋,Kōnɡ Xīn Xiàn,空心蕹藤菜、水蕹菜（《福建中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/kongxinxian/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:07
kuyao,苦夭,Kǔ Yāo,钩夭（《尔雅》），苦板（《纲目》），轮蓟（《苏南种子植物》），狭叶蓟、牛刺犁、小样刺米草（《湖南药物志》），小蓟（《广西中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/kuyao/index.html,1,《中药大辞典》,2025-12-22 00:00:07
kongxinlianzicao,空心莲子草,Kōnɡ Xīn Lián Zǐ Cǎo,空心苋、革命草、水花生、过塘蛇、空心蕹藤菜、水蕹菜、螃蜞菊、假蕹菜,,,https://www.zysj.com.cn/zhongyaocai/kongxinlianzicao/index.html,2,《全国中草药汇编》;《中药大辞典》,2025-12-22 00:00:07
kangyou,糠油,Kānɡ Yóu,,,,https://www.zysj.com.cn/zhongyaocai/kangyou/index.html,1,《中药大辞典》,2025-12-22 00:00:07
kuding,苦丁,Kǔ Dīnɡ,小山萝卜、龙喳口（《草木便方》），叉头草（《四川中药志》，蛾子草（《中草药通讯》（3）：58，1972）。,,,https://www.zysj.com.cn/zhongyaocai/kuding/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:08
kuci,苦刺,Kǔ Cì,苦刺花、狼牙刺、铁马胡烧,,,https://www.zysj.com.cn/zhongyaocai/kuci/index.html,1,《全国中草药汇编》,2025-12-22 00:00:08
kudidangen,苦地胆根,Kǔ Dì Dǎn Gēn,,,,https://www.zysj.com.cn/zhongyaocai/kudidangen/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:09
kuhuluzi,苦壶卢子,Kǔ Hú Lú Zǐ,苦瓠子、苦葫芦子,,,https://www.zysj.com.cn/zhongyaocai/kuhuluzi/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:09
kongxinpao,空心泡,,蔷薇莓、七叶饭消扭、三月泡、白花三月泡、划船泡、龙船泡、倒触伞,,,https://www.zysj.com.cn/zhongyaocai/kongxinpao/index.html,1,《全国中草药汇编》,2025-12-22 00:00:10
kuangmainie,穬麦蘖,Kuànɡ Mài Niè,麦芽（《纲目》）,,,https://www.zysj.com.cn/zhongyaocai/kuangmainie/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:11
kongxinhua,空心花,Kōnɡ Xīn Huā,嫩肉木、丁药、鲫鱼胆（《常用中草药彩色图谱》）。,,,https://www.zysj.com.cn/zhongyaocai/kongxinhua/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:11
kanmainiang,看麦娘,Kàn Mài Niánɡ,牛头猛、山高粱、道旁谷,,,https://www.zysj.com.cn/zhongyaocai/kanmainiang/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:00:11
kongxinmu,空心木,Kōnɡ Xīn Mù,鬼吹哨、来色木、吹鼓清、泡掌筒、炮竹筒、鬼竹子、大笔杆草、空心草、猴桔子、梅竹叶、金鸡一把锁、大追风、野芦柴,,,https://www.zysj.com.cn/zhongyaocai/kongxinmu/index.html,1,《中华本草》,2025-12-22 00:00:14
keteng,榼藤,Kē Ténɡ,过山枫、大血藤、过山龙、过江龙、扭骨风（《广西药植名录》）。,,,https://www.zysj.com.cn/zhongyaocai/keteng/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:14
kuandonghua,款冬花,Kuǎn Dōnɡ Huā,冬花,,,https://www.zysj.com.cn/zhongyaocai/kuandonghua/index.html,3,《中国药典》;《中药大辞典》;《中华本草》,2025-12-22 00:00:15
kema,棵麻,,嘉榄,,,https://www.zysj.com.cn/zhongyaocai/kema/index.html,1,《全国中草药汇编》,2025-12-22 00:00:15
keshupi,柯树皮,Kē Shù Pí,木奴,,,https://www.zysj.com.cn/zhongyaocai/keshupi/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:16
kongxinliu,空心柳,Kōnɡ Xīn Liǔ,马尿溲（《中国高等植物图鉴》），柳叶绣线菊（《东北植物检索表》）。,,,https://www.zysj.com.cn/zhongyaocai/kongxinliu/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:17
ketengzi,榼藤子,Kē Ténɡ Zǐ,象豆（《南方草木状》）。合子（《本草拾遗》），榼子（《日华子本草》），眼镜豆（《南方主要有毒植物》）。,,,https://www.zysj.com.cn/zhongyaocai/ketengzi/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:17
kaoli,栲栗,Kǎo Lì,锥栗、米锥栗、勒翠,,,https://www.zysj.com.cn/zhongyaocai/kaoli/index.html,1,《中华本草》,2025-12-22 00:00:17
kelangmu,柯榔木,Kē Lánɡ Mù,大叶子树、野火绳、大泡火绳、大毛叶子火绳。,,,https://www.zysj.com.cn/zhongyaocai/kelangmu/index.html,1,《中华本草》,2025-12-22 00:00:17
kaoliye,栲栗叶,Kǎo Lì Yè,,,,https://www.zysj.com.cn/zhongyaocai/kaoliye/index.html,1,《中华本草》,2025-12-22 00:00:18
kunmingshuijinfeng,昆明水金凤,Kūn Mínɡ Shuǐ Jīn Fènɡ,水金凤、黄凤仙、凤仙花、湿凤仙,,,https://www.zysj.com.cn/zhongyaocai/kunmingshuijinfeng/index.html,1,《中华本草》,2025-12-22 00:00:18
kunmingdula,昆明堵喇,Kūn Mínɡ Dǔ Lā,草乌、黄草乌（《云南中草药选》），大草乌（《云南中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/kunmingdula/index.html,1,《中药大辞典》,2025-12-22 00:00:19
kunmingjincai,昆明堇菜,Kūn Mínɡ Jǐn Cài,紫花地丁、紫罗兰。,,,https://www.zysj.com.cn/zhongyaocai/kunmingjincai/index.html,1,《中华本草》,2025-12-22 00:00:19
kunxiansi,捆仙丝,Kǔn Xiān Sī,青龙筋,,,https://www.zysj.com.cn/zhongyaocai/kunxiansi/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:20
kunmingjijiaohuanglian,昆明鸡脚黄连,Kūn Mínɡ Jī Jiǎo Huánɡ Lián,土黄连、鸡脚刺、三棵针（《云南中草药》），鸡脚黄连（《昆明民间常用草药》）。,,,https://www.zysj.com.cn/zhongyaocai/kunmingjijiaohuanglian/index.html,1,《中药大辞典》,2025-12-22 00:00:21
kunbu,昆布,Kūn Bù,纶布（《吴普本草》），海昆布（《山东中药》）。,,,https://www.zysj.com.cn/zhongyaocai/kunbu/index.html,3,《中国药典》;《中药大辞典》;《中华本草》,2025-12-22 00:00:21
kuojinban,括金板,Kuò Jīn Bǎn,水杨柳（《贵州民间方药集》）。,,,https://www.zysj.com.cn/zhongyaocai/kuojinban/index.html,1,《中药大辞典》,2025-12-22 00:00:21
kunmingshanhaitang,昆明山海棠,Kūn Mínɡ Shān Hǎi Tánɡ,火把花、断肠草、紫金皮、紫金藤、雷公藤、掉毛草、胖关藤、红毛山藤。,,,https://www.zysj.com.cn/zhongyaocai/kunmingshanhaitang/index.html,1,《中华本草》,2025-12-22 00:00:22
kaikoujian,开口箭,Kāi Kǒu Jiàn,牛尾七、岩七、竹根七[陕西],,,https://www.zysj.com.cn/zhongyaocai/kaikoujian/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:00:22
kunmingjixuetenggen,昆明鸡血藤根,Kūn Mínɡ Jī Xuè Ténɡ Gēn,,,,https://www.zysj.com.cn/zhongyaocai/kunmingjixuetenggen/index.html,1,《中药大辞典》,2025-12-22 00:00:23
kuluobo,枯萝卜,Kū Luó Bo,地骷髅,,,https://www.zysj.com.cn/zhongyaocai/kuluobo/index.html,1,《全国中草药汇编》,2025-12-22 00:00:23
kuanjinteng,宽筋藤,Kuān Jīn Ténɡ,松根藤、大接筋藤、舒筋藤、牛挣藤、大松身,,,https://www.zysj.com.cn/zhongyaocai/kuanjinteng/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:00:24
kuanbanhongjingtian,宽瓣红景天,Kuān Bàn Hónɡ Jǐnɡ Tiān,,,,https://www.zysj.com.cn/zhongyaocai/kuanbanhongjingtian/index.html,1,《中华本草》,2025-12-22 00:00:24
kuyexuangouzi,库页悬钩子,Kù Yè Xuán Gōu Zi,野悬钩子,,,https://www.zysj.com.cn/zhongyaocai/kuyexuangouzi/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:25
kuanchunshenxiangcao,宽唇神香草,Kuān Chún Shén Xiānɡ Cǎo,,,,https://www.zysj.com.cn/zhongyaocai/kuanchunshenxiangcao/index.html,1,《中华本草》,2025-12-22 00:00:25
kuansuituerfeng,宽穗兔耳风,Kuān Suì Tù ěr Fēnɡ,刀口药、白胡子狼毒、大叶一支箭、青皮草,,,https://www.zysj.com.cn/zhongyaocai/kuansuituerfeng/index.html,1,《全国中草药汇编》,2025-12-22 00:00:26
kuyexuangouzigen,库页悬钩子根,Kù Yè Xuán Gōu Zi Gēn,,,,https://www.zysj.com.cn/zhongyaocai/kuyexuangouzigen/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:26
kuanyuxianjue,宽羽线蕨,Kuān Yǔ Xiàn Jué,九龙盘、一包金、骨碎补,,,https://www.zysj.com.cn/zhongyaocai/kuanyuxianjue/index.html,1,《中华本草》,2025-12-22 00:00:26
kongqing,空青,Kōnɡ Qīnɡ,青油羽、青神羽（《石药尔雅》），杨梅青（《本草图经》）。,,,https://www.zysj.com.cn/zhongyaocai/kongqing/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:27
kuanyeduxingcai,宽叶独行菜,Kuān Yè Dú Xínɡ Cài,大辣辣、止痢草,,,https://www.zysj.com.cn/zhongyaocai/kuanyeduxingcai/index.html,1,《中药大辞典》,2025-12-22 00:00:27
kuanyeshuqucao,宽叶鼠曲草,,老鸦绵、地膏药,,,https://www.zysj.com.cn/zhongyaocai/kuanyeshuqucao/index.html,1,《全国中草药汇编》,2025-12-22 00:00:27
kaoliguoke,栲栗果壳,Kǎo Lì Guǒ Ké,锥栗壳,,,https://www.zysj.com.cn/zhongyaocai/kaoliguoke/index.html,1,《中华本草》,2025-12-22 00:00:28
kuanyexunma,宽叶荨麻,,螫麻、哈拉海,,,https://www.zysj.com.cn/zhongyaocai/kuanyexunma/index.html,1,《全国中草药汇编》,2025-12-22 00:00:28
kuanyeziqimiao,宽叶紫萁苗,Kuān Yè Zǐ Qí Miáo,,,,https://www.zysj.com.cn/zhongyaocai/kuanyeziqimiao/index.html,1,《中华本草》,2025-12-22 00:00:28
kuanweishiwei,宽尾石韦,Kuān Wěi Shí Wéi,毛石韦、小石韦、舌鹅草,,,https://www.zysj.com.cn/zhongyaocai/kuanweishiwei/index.html,1,《中华本草》,2025-12-22 00:00:29
kongquecao,孔雀草,Kǒnɡ Què Cǎo,小万寿菊、红黄万寿菊、红黄草、小芙蓉花、藤菊,,,https://www.zysj.com.cn/zhongyaocai/kongquecao/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:00:29
kuanyeziqi,宽叶紫萁,Kuān Yè Zǐ Qí,,,,https://www.zysj.com.cn/zhongyaocai/kuanyeziqi/index.html,1,《中华本草》,2025-12-22 00:00:29
kangbanguigen,扛板归根,Kánɡ Bǎn Guī Gēn,杠板归根、河白草根,,,https://www.zysj.com.cn/zhongyaocai/kangbanguigen/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:30
konggongnie,孔公孽,Kǒnɡ Gōnɡ Niè,通石、孔公石,,,https://www.zysj.com.cn/zhongyaocai/konggongnie/index.html,1,《中华本草》,2025-12-22 00:00:31
kuanluanyeshanmahuang,宽卵叶山蚂蝗,Kuān Luǎn Yè Shān Mǎ Huánɡ,假山绿豆。,,,https://www.zysj.com.cn/zhongyaocai/kuanluanyeshanmahuang/index.html,1,《中华本草》,2025-12-22 00:00:32
kongquewei,孔雀尾,Kǒnɡ Què Wěi,凤尾蕨（《浙江中药资源名录，），青旗草、见血生（《广东中医》3（5）：26，1958），碎叶金花、退血草、地侧柏、小凤尾草、细金鸡尾、细叶野鸡尾、细叶路鸡（《湖南药物志》），地柏枝（《贵州药植目录》）。,,,https://www.zysj.com.cn/zhongyaocai/kongquewei/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:32
kesoucao,咳嗽草,Ké Sou Cǎo,土香薷、野香薷、野紫苏,,,https://www.zysj.com.cn/zhongyaocai/kesoucao/index.html,1,《中华本草》,2025-12-22 00:00:32
kuaijingcaosu,块茎糙苏,Kuài Jīnɡ Cāo Sū,野山药（《高原中草药治疗手册》）。,,,https://www.zysj.com.cn/zhongyaocai/kuaijingcaosu/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:33
keaihua,可爱花,Kě ài Huā,对节菜、牛七,,,https://www.zysj.com.cn/zhongyaocai/keaihua/index.html,1,《中华本草》,2025-12-22 00:00:33
keaifuyeerjue,可爱复叶耳蕨,Kě ài Fù Yè ěr Jué,大叶鸭脚莲,,,https://www.zysj.com.cn/zhongyaocai/keaifuyeerjue/index.html,1,《中药大辞典》,2025-12-22 00:00:33
kami,卡密,Kǎ Mì,西伯利亚白刺（《中国沙漠地区药用植物》），酸胖、哈莫儿（《内蒙古中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/kami/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:35
heidong,黑鸫,Hēi Dōnɡ,乌鸫、牛屎八、百舌,,,https://www.zysj.com.cn/zhongyaocai/heidong/index.html,1,《全国中草药汇编》,2025-12-22 00:00:35
koutouchong,叩头虫,Kòu Tóu Chónɡ,跳百丈（《纲目拾遗》），跳搏虫、膈膊虫（《中国医学大辞典》），跳米虫、蛷（《动物学大辞典》），剥剥跳（《系统动物学》）。,,,https://www.zysj.com.cn/zhongyaocai/koutouchong/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:35
keliezijin,刻裂紫堇,Kè Liè Zǐ Jǐn,黄花地锦苗、断肠草、裂苞紫堇,,,https://www.zysj.com.cn/zhongyaocai/keliezijin/index.html,1,《全国中草药汇编》,2025-12-22 00:00:36
heigutou,黑骨头,Hēi Gǔ Tou,铁散沙、铁骨头、牛尾蕨、山筋线（《广西药植名录》），山杨柳、青蛇胆、小青蛇、柳叶夹（《昆明民间常用草药》），黑龙骨、飞仙藤，达风藤（《云南中草药选》），小黑牛、青香藤、奶浆藤、青色丹、黑骨藤、青风藤（《云南中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/heigutou/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:36
heixiangchai,黑香柴,Hēi Xiānɡ Chái,,,,https://www.zysj.com.cn/zhongyaocai/heixiangchai/index.html,1,《中华本草》,2025-12-22 00:00:36
kepumu,柯蒲木,Kē Pú Mù,勐呵（傣名）,,,https://www.zysj.com.cn/zhongyaocai/kepumu/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:36
koumo,口蘑,Kǒu Mó,,,,https://www.zysj.com.cn/zhongyaocai/koumo/index.html,1,《中华本草》,2025-12-22 00:00:36
heiguzouma,黑骨走马,Hēi Gǔ Zǒu Mǎ,海南粗丝木、黑骨梢,,,https://www.zysj.com.cn/zhongyaocai/heiguzouma/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:00:37
heifengsangen,黑风散根,Hēi Fēnɡ Sàn Gēn,广藤根,,,https://www.zysj.com.cn/zhongyaocai/heifengsangen/index.html,1,《中华本草》,2025-12-22 00:00:38
heifengteng,黑风藤,Hēi Fēnɡ Ténɡ,通气香、黑皮跌打、石拢藤、拉公藤、多花瓜馥木、埋罕[傣],,,https://www.zysj.com.cn/zhongyaocai/heifengteng/index.html,1,《全国中草药汇编》,2025-12-22 00:00:38
heiejiaoban,黑鹅脚板,Hēi é Jiǎo Bǎn,干小黑药,"images/heiejiaoban_1.jpg,images/heiejiaoban_2.jpg,images/heiejiaoban_3.jpg","https://www.zysj.com.cn/zhongyaocai/heiejiaoban/heiejiaoban_3.jpg,https://www.zysj.com.cn/zhongyaocai/heiejiaoban/heiejiaoban_2.jpg,https://www.zysj.com.cn/zhongyaocai/heiejiaoban/heiejiaoban_1.jpg",https://www.zysj.com.cn/zhongyaocai/heiejiaoban/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:58
heigujue,黑骨蕨,Hēi Gǔ Jué,,,,https://www.zysj.com.cn/zhongyaocai/heigujue/index.html,1,《中华本草》,2025-12-22 00:00:59
kangbangui,扛板归,Kánɡ Bǎn Guī,犁头刺藤（《物理小识》），老虎利（《生草药性备要》），雷公藤（《救生苦海》），河白草、霹雳木、方胜板、倒金钩、烙铁草、倒挂紫金钩、犁尖草、括耙草、龙仙草、鱼尾花、三木棉（《纲目拾遗》），刺犁头、蛇不过、急改索、退血草（《植物名实图考》），虎舌草（《天宝本草》），有竻犁牛草（《岭南采药录》），刺酸浆（《贵州民间方药集》），鸡眼睛草、有刺鸠饭草（《福建民间草药》），拦蛇风（《民间常用草药汇编》），白竻（《陆川本草》），有刺粪箕笃（《南宁市药物志》），犁头藤、三角藤（《江西民间草药》），蛇倒退、地葡萄,,,https://www.zysj.com.cn/zhongyaocai/kangbangui/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:00:59
kuanyefanhuncao,宽叶返魂草,Kuān Yè Fǎn Hún Cǎo,,,,https://www.zysj.com.cn/zhongyaocai/kuanyefanhuncao/index.html,1,《中华本草》,2025-12-22 00:00:59
kuanyeduxiang,宽叶杜香,Kuān Yè Dù Xiānɡ,杜香、喇叭茶,,,https://www.zysj.com.cn/zhongyaocai/kuanyeduxiang/index.html,1,《中华本草》,2025-12-22 00:01:01
kunmingjixueteng,昆明鸡血藤,Kūn Mínɡ Jī Xuè Ténɡ,网络鸡血藤（《中国主要植物图说·豆科》），黄藤、蓝藤（《湖南野生植物》），硬壳藤、石柱藤、大肠藤（《广西中兽医药植》），芦藤、老鼠豆（《除害灭病爱国卫生运动手册》），土鸡血（《杭州药植志》），青皮活血、血防藤、血灌皮（《湖南药物志》），光叶朱藤、血藤、白血藤、红藤、黄昭藤、松藤、马尿血豆、崖儿藤（《浙江民间常用草药》），白骨藤（《广西中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/kunmingjixueteng/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:01:01
heidingjuanbai,黑顶卷柏,Hēi Dǐnɡ Juǎn Bǎi,红骨草、马尾草、百叶草、鸡脚草,,,https://www.zysj.com.cn/zhongyaocai/heidingjuanbai/index.html,1,《中华本草》,2025-12-22 00:01:07
heifengsan,黑风散,Hēi Fēnɡ Sàn,广藤、小广藤、土藤、铁线藤、青藤、车线藤。,,,https://www.zysj.com.cn/zhongyaocai/heifengsan/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:01:07
heimianye,黑面叶,Hēi Miàn Yè,黑面神、鬼划符、暗鬼木、青凡木、铁甲将军、夜兰茶、锅盖仔、四眼草、乌漆臼、青漆、山树兰,,,https://www.zysj.com.cn/zhongyaocai/heimianye/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:01:12
heimianfangji,黑面防己,Hēi Miàn Fánɡ Jǐ,耳叶马兜铃、木防己、麻疯龙、暗消,,,https://www.zysj.com.cn/zhongyaocai/heimianfangji/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:01:13
heimianyegen,黑面叶根,Hēi Miàn Yè Gēn,,,,https://www.zysj.com.cn/zhongyaocai/heimianyegen/index.html,1,《中药大辞典》,2025-12-22 00:01:13
heiyangcan,黑阳参,Hēi Yánɡ Shēn,黑元参（《滇南本草》），白紫草、牛舌头菜（《云南中草药》），土玄参（《云南经济植物》）。,,,https://www.zysj.com.cn/zhongyaocai/heiyangcan/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:01:14
heixueteng,黑血藤,Hēi Xuè Ténɡ,褐毛黎豆、肉麻绳、黑肉风、牛豆藤,,,https://www.zysj.com.cn/zhongyaocai/heixueteng/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:01:15
heidou,黑豆,,黑大豆、乌豆、冬豆子。,,,https://www.zysj.com.cn/zhongyaocai/heidou/index.html,1,其他,2025-12-22 00:01:16
heimayi,黑蚂蚁,Hēi Má Yǐ,,,,https://www.zysj.com.cn/zhongyaocai/heimayi/index.html,1,《中药大辞典》,2025-12-22 00:01:16
heihuercao,黑虎耳草,Hēi Hǔ ěr Cǎo,黑化虎耳草、阿仲茶保。,,,https://www.zysj.com.cn/zhongyaocai/heihuercao/index.html,1,《中华本草》,2025-12-22 00:01:18
