药材ID,药材名称,拼音注音,别名,图片本地路径,图片原始URL,来源页面URL,来源数量,来源列表,采集时间
zhanyugan,鳣鱼肝,Zhān Yú Gān,,,,https://www.zysj.com.cn/zhongyaocai/zhanyugan/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:13
zhanyu,鳣鱼,Zhān Yú,鳣（《诗经》），含光、蜡鱼（啪海异物志》），黄鱼（《尔雅》郭璞注），阿八儿忽鱼（《饮膳正要》），颊鱼（《医学入门》），玉版鱼、鲟蟥鱼（（纲目》）。,,,https://www.zysj.com.cn/zhongyaocai/zhanyu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:14
zunyu,鳟鱼,Zūn Yú,鮅（《尔雅》），赤眼鱼（《说文》），红目鳟（《脊椎动物分类学》）。,,,https://www.zysj.com.cn/zhongyaocai/zunyu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:14
ziyu,鲻鱼,Zī Yú,子鱼（《纲目》），白眼（《黄渤海鱼类调查报告》），梭鱼（《脊椎动物分类学》）。,,,https://www.zysj.com.cn/zhongyaocai/ziyu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:14
zhenyu,鱵鱼,Zhēn Yú,箴鱼（《山海经》），铜哾鱼（《临海异物志》），姜公鱼（《纲目》），针工鱼（《医林纂要》），针鱼（《动物学大辞典》），单针鱼、针扎鱼（《黄渤海伍类调查报告》）。,,,https://www.zysj.com.cn/zhongyaocai/zhenyu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:14
zongyu,鯮鱼,Zōnɡ Yú,鯼鱼（《纲目》），尖头鳡（《鱼类分类学》）。,,,https://www.zysj.com.cn/zhongyaocai/zongyu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:15
zhentianlei,震天雷,Zhèn Tiān Léi,九牛造、九牛七、翻天印、柳州七,,,https://www.zysj.com.cn/zhongyaocai/zhentianlei/index.html,1,《全国中草药汇编》,2025-12-21 21:41:15
zhinao,雉脑,Zhì Nǎo,,,,https://www.zysj.com.cn/zhongyaocai/zhinao/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:15
zhigan,雉肝,Zhì Gān,,,,https://www.zysj.com.cn/zhongyaocai/zhigan/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:15
zhiwei,雉尾,Zhì Wěi,,,,https://www.zysj.com.cn/zhongyaocai/zhiwei/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:16
